,State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
583,NC,64,510,Yes,Yes,33,127.2,93,21.62,162.9,104,13.85,247.4,109,11.13,8.1,13,2.19,0,0
584,VT,107,510,No,Yes,28,201.8,79,34.31,304.9,128,25.92,225.6,133,10.15,11.9,8,3.21,1,0
585,DC,88,415,No,Yes,17,219.5,78,37.32,222.1,94,18.88,188.3,92,8.47,16.1,5,4.35,1,0
586,VT,111,408,No,No,0,99.3,112,16.88,270.5,136,22.99,225.3,94,10.14,9.0,6,2.43,3,0
587,NV,77,415,No,No,0,239.2,114,40.66,150.0,115,12.75,160.8,81,7.24,10.3,2,2.78,5,0
588,OR,67,415,Yes,No,0,120.9,58,20.55,235.0,88,19.98,95.1,130,4.28,11.4,11,3.08,2,0
589,AL,102,408,No,No,0,224.7,81,38.2,129.4,112,11.0,167.6,109,7.54,15.8,6,4.27,1,0
590,ND,146,408,No,Yes,19,176.6,88,30.02,162.7,66,13.83,215.5,98,9.7,14.6,6,3.94,1,0
591,ME,149,408,No,No,0,237.6,79,40.39,192.4,107,16.35,207.4,111,9.33,9.1,9,2.46,0,0
592,IL,129,415,No,No,0,198.4,91,33.73,264.7,106,22.5,111.4,101,5.01,9.2,2,2.48,2,0
593,WA,166,408,No,No,0,274.3,110,46.63,52.9,109,4.5,246.1,119,11.07,10.9,5,2.94,0,0
594,KS,149,510,No,No,0,217.7,91,37.01,273.5,74,23.25,226.9,99,10.21,9.6,3,2.59,3,0
595,RI,70,415,No,No,0,134.7,96,22.9,235.9,90,20.05,260.2,113,11.71,7.6,6,2.05,3,0
596,IA,66,510,No,No,0,256.3,135,43.57,180.2,106,15.32,187.3,135,8.43,6.2,7,1.67,2,0
597,NV,160,415,No,No,0,176.2,90,29.95,196.0,115,16.66,263.9,95,11.88,9.2,4,2.48,1,0
598,WI,129,415,No,Yes,37,205.0,94,34.85,165.4,103,14.06,185.0,81,8.32,11.7,8,3.16,1,0
599,HI,169,415,No,No,0,179.2,111,30.46,175.2,130,14.89,228.6,92,10.29,9.9,6,2.67,2,0
600,MO,58,415,No,No,0,149.4,145,25.4,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02,1,0
601,MO,45,408,No,No,0,207.6,71,35.29,152.7,94,12.98,217.8,125,9.8,12.4,13,3.35,1,0
602,CT,155,510,No,No,0,165.4,108,28.12,183.7,103,15.61,80.2,108,3.61,8.9,4,2.4,3,0
603,MD,52,415,No,No,0,209.8,114,35.67,171.3,82,14.56,154.6,119,6.96,9.9,9,2.67,4,0
604,OH,119,415,No,Yes,27,220.1,128,37.42,268.2,133,22.8,146.5,80,6.59,11.1,3,3.0,0,0
605,NV,86,510,No,No,0,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,1,0
606,MD,42,408,No,No,0,196.5,89,33.41,241.3,123,20.51,143.2,105,6.44,4.0,7,1.08,0,0
607,OH,123,408,No,No,0,105.0,150,17.85,251.6,90,21.39,258.0,93,11.61,14.9,5,4.02,0,0
608,OK,149,510,No,Yes,43,206.7,79,35.14,174.6,122,14.84,241.5,80,10.87,10.9,3,2.94,1,0
609,MA,160,408,No,No,0,166.8,109,28.36,236.0,117,20.06,307.6,77,13.84,9.3,1,2.51,1,0
610,WA,103,415,No,No,0,204.9,107,34.83,135.2,102,11.49,208.2,106,9.37,10.4,3,2.81,5,0
611,HI,132,415,No,Yes,15,154.6,128,26.28,245.6,106,20.88,148.6,90,6.69,9.1,4,2.46,1,0
612,CO,137,415,No,No,0,127.0,107,21.59,323.2,75,27.47,143.9,127,6.48,7.5,2,2.03,1,0
613,FL,129,415,Yes,No,0,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,5.9,4,1.59,1,0
614,WI,62,415,No,No,0,281.0,66,47.77,160.6,108,13.65,77.9,74,3.51,0.0,0,0.0,1,0
615,WY,32,408,No,No,0,171.2,82,29.1,185.6,102,15.78,203.3,64,9.15,10.2,7,2.75,1,0
616,GA,86,510,No,No,0,124.1,82,21.1,202.6,120,17.22,289.6,119,13.03,6.7,8,1.81,3,0
617,FL,130,415,No,No,0,162.8,113,27.68,290.3,111,24.68,114.9,140,5.17,7.2,3,1.94,1,0
618,WY,42,408,No,No,0,146.3,84,24.87,255.9,113,21.75,45.0,117,2.03,8.0,12,2.16,1,0
619,DE,73,415,No,No,0,254.8,85,43.32,143.4,80,12.19,153.9,102,6.93,15.0,7,4.05,2,0
620,ME,66,408,No,Yes,26,254.9,108,43.33,243.2,135,20.67,190.8,95,8.59,5.4,3,1.46,2,0
621,DC,103,510,No,Yes,31,107.7,124,18.31,188.9,104,16.06,196.2,98,8.83,8.9,3,2.4,0,0
622,IA,128,408,No,No,0,158.8,75,27.0,264.8,91,22.51,270.0,77,12.15,7.6,7,2.05,1,0
623,CO,104,415,No,No,0,182.9,113,31.09,239.6,85,20.37,229.8,104,10.34,5.5,4,1.49,2,0
624,MN,103,415,No,No,0,198.5,112,33.75,42.5,90,3.61,179.2,124,8.06,12.4,5,3.35,0,0
625,AZ,87,510,No,No,0,110.9,91,18.85,158.5,115,13.47,207.5,131,9.34,6.2,5,1.67,1,0
626,MD,106,415,No,No,0,165.3,118,28.1,210.0,101,17.85,187.2,93,8.42,8.5,3,2.3,2,0
627,VT,125,415,No,No,0,126.7,113,21.54,155.5,131,13.22,206.2,112,9.28,14.4,7,3.89,2,0
628,DC,108,408,No,Yes,35,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,0
629,WY,125,415,No,No,0,140.1,132,23.82,209.6,126,17.82,264.1,77,11.88,8.0,2,2.16,1,0
630,VA,72,510,Yes,Yes,29,139.8,114,23.77,138.2,91,11.75,221.0,88,9.95,5.5,6,1.49,0,0
631,HI,149,510,No,No,0,166.6,61,28.32,218.8,107,18.6,208.3,131,9.37,8.2,6,2.21,7,0
632,WI,73,415,No,No,0,214.2,90,36.41,196.8,78,16.73,157.9,112,7.11,5.9,8,1.59,0,0
633,UT,118,415,No,Yes,24,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,16.9,2,4.56,1,0
634,CO,23,408,No,No,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15.0,4,4.05,6,0
635,NC,127,415,No,Yes,25,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,0,0
636,NJ,42,415,No,Yes,32,163.8,80,27.85,177.8,123,15.11,190.4,106,8.57,8.1,5,2.19,0,0
637,IA,45,510,No,No,0,159.8,91,27.17,120.4,86,10.23,163.0,93,7.34,10.6,3,2.86,2,0
638,GA,50,408,No,Yes,24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1,0
639,MO,152,408,No,No,0,101.2,122,17.2,141.6,87,12.04,198.5,124,8.93,7.5,3,2.03,2,0
640,WY,105,415,No,No,0,102.8,74,17.48,281.7,125,23.94,228.1,113,10.26,13.2,5,3.56,2,0
641,HI,72,415,No,No,0,109.1,97,18.55,115.7,96,9.83,295.8,84,13.31,8.3,6,2.24,0,0
642,PA,52,408,No,No,0,215.9,67,36.7,217.0,108,18.45,342.8,130,15.43,5.2,2,1.4,1,0
643,TX,125,415,No,No,0,203.4,110,34.58,128.7,97,10.94,190.5,113,8.57,11.0,4,2.97,1,0
644,VA,143,510,No,No,0,110.1,113,18.72,169.0,59,14.37,166.7,94,7.5,9.2,2,2.48,1,0
645,RI,65,415,No,No,0,111.0,51,18.87,219.8,84,18.68,202.0,89,9.09,4.4,14,1.19,1,0
646,WI,80,415,No,No,0,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1,0
647,NC,43,415,No,No,0,84.2,134,14.31,80.8,103,6.87,196.1,79,8.82,10.8,2,2.92,1,0
648,NV,143,415,No,No,0,209.1,127,35.55,106.1,80,9.02,179.6,90,8.08,14.0,6,3.78,0,0
649,UT,81,415,No,Yes,24,130.1,117,22.12,196.0,61,16.66,139.3,123,6.27,11.4,5,3.08,0,0
650,ME,205,510,No,Yes,24,175.8,139,29.89,155.0,98,13.18,180.7,64,8.13,7.8,5,2.11,2,0
651,HI,24,415,No,No,0,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,1,0
652,OH,74,415,No,No,0,136.7,106,23.24,228.6,105,19.43,265.3,114,11.94,9.8,4,2.65,0,0
653,OK,74,415,No,No,0,200.4,87,34.07,309.2,105,26.28,152.1,118,6.84,10.0,2,2.7,1,0
654,AL,200,408,No,No,0,128.2,87,21.79,133.2,105,11.32,177.6,123,7.99,11.2,2,3.02,1,0
655,MD,86,408,No,No,0,226.3,88,38.47,223.0,107,18.96,255.6,92,11.5,13.0,3,3.51,4,0
656,NE,91,510,No,Yes,37,162.3,107,27.59,233.9,115,19.88,277.4,94,12.48,9.2,4,2.48,0,0
657,TX,130,415,No,No,0,120.5,127,20.49,189.7,52,16.12,270.1,107,12.15,14.3,2,3.86,1,0
658,OH,56,408,No,No,0,91.1,90,15.49,179.3,115,15.24,300.7,89,13.53,11.9,8,3.21,2,0
659,DE,117,415,No,No,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,0
660,VT,126,415,No,No,0,226.2,88,38.45,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,0,0
661,OR,132,510,No,No,0,191.9,107,32.62,206.9,127,17.59,272.0,88,12.24,12.6,2,3.4,1,0
662,NC,122,415,No,No,0,180.0,88,30.6,145.0,77,12.33,233.7,120,10.52,11.5,6,3.11,2,0
663,ID,99,408,No,No,0,159.7,83,27.15,155.4,121,13.21,255.7,114,11.51,8.4,3,2.27,1,0
664,AL,87,408,No,No,0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11.0,3,2.97,1,0
665,AK,108,415,No,No,0,103.0,129,17.51,242.3,103,20.6,170.2,89,7.66,7.9,3,2.13,1,0
666,PA,53,415,No,No,0,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,10.7,2,2.89,3,0
667,NV,144,415,Yes,No,0,150.0,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,0,0
668,AL,91,510,No,Yes,23,232.4,97,39.51,186.0,88,15.81,190.5,128,8.57,12.3,3,3.32,3,0
669,GA,58,408,No,No,0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,2,0
670,AR,5,415,No,No,0,199.2,106,33.86,187.3,12,15.92,214.0,85,9.63,13.3,3,3.59,3,0
671,MA,97,408,No,No,0,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,0,0
672,MO,142,415,No,Yes,30,154.0,75,26.18,165.8,97,14.09,270.0,83,12.15,10.8,5,2.92,1,0
673,NY,9,408,No,Yes,31,193.8,130,32.95,202.6,98,17.22,191.2,102,8.6,13.3,2,3.59,1,0
674,AZ,73,415,No,No,0,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0,0
675,WV,43,408,No,No,0,230.2,147,39.13,186.7,121,15.87,128.4,100,5.78,9.2,3,2.48,0,0
676,SC,93,415,No,No,0,190.2,68,32.33,262.2,64,22.29,130.0,92,5.85,8.8,4,2.38,0,0
677,VT,85,415,No,No,0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1,0
678,LA,87,415,No,No,0,228.7,90,38.88,163.0,99,13.86,154.1,90,6.93,11.8,3,3.19,1,0
679,OH,137,408,No,No,0,144.0,90,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,0,0
680,OR,21,510,No,Yes,31,135.9,90,23.1,271.0,84,23.04,179.1,89,8.06,9.5,7,2.57,6,0
681,KY,104,415,No,No,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13.0,6,3.51,0,0
682,OR,161,415,No,No,0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0,0
683,MO,103,408,No,Yes,24,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,1,0
684,ND,84,415,No,Yes,33,159.1,106,27.05,149.8,101,12.73,213.4,108,9.6,13.0,18,3.51,1,0
685,MN,92,510,No,No,0,212.4,105,36.11,224.6,118,19.09,221.3,105,9.96,9.0,4,2.43,1,0
686,NV,77,415,No,No,0,142.3,112,24.19,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,1,0
687,FL,159,415,No,Yes,15,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1,0
688,NV,138,510,No,No,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17.0,4,4.59,3,0
689,NV,178,408,No,No,0,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,3,3.67,1,0
690,SC,38,415,No,Yes,31,197.2,118,33.52,249.9,70,21.24,298.9,104,13.45,3.9,2,1.05,0,0
691,MI,45,510,No,Yes,26,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1,0
692,TN,70,510,No,No,0,126.3,99,21.47,141.6,106,12.04,255.9,96,11.52,9.6,2,2.59,0,0
693,NY,147,510,No,Yes,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,0
694,NV,94,510,No,No,0,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,1,0
695,IL,179,510,No,No,0,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0,0
696,ND,59,510,No,No,0,179.4,80,30.5,232.5,99,19.76,175.8,105,7.91,14.7,3,3.97,0,0
697,NC,165,415,No,No,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0,0
698,TN,140,415,No,No,0,125.3,84,21.3,167.6,121,14.25,260.6,94,11.73,8.4,4,2.27,1,0
699,VT,93,408,No,Yes,32,138.1,91,23.48,167.3,72,14.22,238.9,115,10.75,6.8,3,1.84,2,0
700,DE,64,415,No,Yes,27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1,0
701,OR,48,415,No,No,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6.0,8.3,4,2.24,2,0
702,NY,181,408,No,No,0,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6.0,7,1.62,1,0
703,MO,168,415,No,Yes,42,97.4,57,16.56,203.6,98,17.31,173.9,124,7.83,11.4,2,3.08,2,0
704,FL,155,415,No,No,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3,0
705,NY,11,415,No,No,0,143.4,130,24.38,289.4,50,24.6,194.0,100,8.73,9.7,6,2.62,2,0
706,ND,182,415,No,No,0,104.9,111,17.83,198.5,120,16.87,258.2,91,11.62,8.0,5,2.16,2,0
707,OH,102,415,No,No,0,114.8,125,19.52,81.9,126,6.96,304.3,101,13.69,12.0,4,3.24,0,0
708,AL,122,415,No,No,0,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,0,0
709,SC,41,415,No,No,0,143.6,117,24.41,152.4,108,12.95,194.4,110,8.75,8.6,3,2.32,1,0
710,GA,132,415,No,No,0,176.7,132,30.04,244.1,80,20.75,176.3,120,7.93,9.1,4,2.46,2,0
711,HI,115,415,No,Yes,33,145.0,72,24.65,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,2,0
712,LA,154,510,No,No,0,166.9,99,28.37,154.9,97,13.17,189.4,89,8.52,7.2,5,1.94,0,0
713,AR,100,510,No,No,0,142.5,87,24.23,195.7,88,16.63,122.1,117,5.49,7.8,8,2.11,2,0
714,AK,146,510,Yes,No,0,133.0,65,22.61,262.8,93,22.34,214.3,128,9.64,11.2,3,3.02,1,0
715,AL,67,415,No,Yes,28,95.0,94,16.15,291.2,73,24.75,159.6,114,7.18,10.0,2,2.7,2,0
716,KS,70,415,No,No,0,222.8,114,37.88,215.9,113,18.35,223.5,122,10.06,0.0,0,0.0,1,0
717,UT,87,415,No,No,0,146.3,108,24.87,171.8,102,14.6,167.5,66,7.54,5.3,9,1.43,1,0
718,IN,87,510,No,No,0,234.8,85,39.92,140.9,91,11.98,204.3,93,9.19,9.5,5,2.57,1,0
719,CT,70,408,No,No,0,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,2,0
720,MO,119,408,No,Yes,32,142.6,77,24.24,208.2,126,17.7,171.0,102,7.69,12.0,2,3.24,3,0
721,RI,87,510,Yes,No,0,134.2,80,22.81,165.0,71,14.03,173.1,102,7.79,10.7,5,2.89,0,0
722,RI,75,415,No,No,0,122.8,89,20.88,211.3,104,17.96,261.4,91,11.76,10.7,2,2.89,2,0
723,CT,150,510,No,No,0,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,4,0
724,IN,161,510,No,Yes,38,240.4,112,40.87,201.8,102,17.15,206.1,112,9.27,16.1,6,4.35,0,0
725,FL,91,510,Yes,Yes,24,93.5,112,15.9,183.4,128,15.59,240.7,133,10.83,9.9,3,2.67,0,0
726,KS,124,415,No,No,0,158.6,104,26.96,211.2,77,17.95,179.3,104,8.07,10.2,8,2.75,3,0
727,RI,158,510,No,No,0,220.9,129,37.55,242.2,108,20.59,233.3,75,10.5,6.4,5,1.73,0,0
728,NV,102,415,No,No,0,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0,0
729,UT,85,510,No,No,0,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,0,0
730,OK,79,510,No,No,0,147.0,72,24.99,165.7,102,14.08,243.2,107,10.94,8.4,9,2.27,1,0
731,MN,139,510,No,Yes,25,96.2,112,16.35,178.9,70,15.21,182.1,84,8.19,12.9,10,3.48,2,0
732,NC,103,415,No,No,0,263.4,118,44.78,179.1,69,15.22,214.7,112,9.66,10.3,2,2.78,0,0
733,OR,98,415,Yes,No,0,12.5,67,2.13,256.6,90,21.81,169.4,88,7.62,7.7,9,2.08,1,0
734,NH,78,408,No,No,0,162.3,116,27.59,192.4,86,16.35,240.6,100,10.83,10.1,3,2.73,2,0
735,AK,50,408,No,No,0,183.6,107,31.21,58.6,118,4.98,202.6,99,9.12,8.7,3,2.35,1,0
736,WV,86,415,No,Yes,38,123.0,158,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,1,0
737,GA,92,510,No,No,0,208.0,125,35.36,198.9,76,16.91,76.4,97,3.44,8.6,6,2.32,0,0
738,NM,174,415,No,No,0,239.2,72,40.66,188.5,124,16.02,105.6,116,4.75,8.8,3,2.38,1,0
739,OH,124,510,No,No,0,193.0,97,32.81,89.8,99,7.63,172.8,104,7.78,15.3,3,4.13,1,0
740,RI,190,415,No,Yes,26,116.7,71,19.84,145.9,88,12.4,175.1,103,7.88,9.9,3,2.67,1,0
741,HI,101,510,No,No,0,93.8,127,15.95,150.0,104,12.75,241.1,116,10.85,10.7,2,2.89,1,0
742,WY,185,415,Yes,Yes,30,154.1,114,26.2,118.7,106,10.09,258.4,105,11.63,12.9,3,3.48,2,0
743,NY,68,415,No,Yes,29,239.5,82,40.72,203.8,105,17.32,167.8,70,7.55,9.9,6,2.67,0,0
744,KS,117,510,No,Yes,25,216.0,140,36.72,224.1,69,19.05,267.9,112,12.06,11.8,4,3.19,0,0
745,LA,118,408,No,No,0,187.4,97,31.86,177.8,89,15.11,233.4,97,10.5,12.2,6,3.29,1,0
746,PA,124,415,No,No,0,167.4,119,28.46,233.2,143,19.82,109.6,115,4.93,10.3,5,2.78,0,0
747,NV,22,510,No,No,0,160.4,108,27.27,218.1,88,18.54,192.9,115,8.68,12.5,4,3.38,1,0
748,MN,75,415,No,No,0,143.2,92,24.34,209.1,142,17.77,173.0,96,7.79,11.9,9,3.21,1,0
749,MO,164,408,No,Yes,25,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,1,0
750,ME,177,415,No,No,0,232.8,106,39.58,175.2,97,14.89,212.2,77,9.55,12.5,7,3.38,2,0
751,NH,110,408,No,No,0,162.0,81,27.54,247.5,89,21.04,155.5,99,7.0,8.9,8,2.4,0,0
752,MN,158,408,No,No,0,209.9,112,35.68,221.3,82,18.81,210.0,93,9.45,8.2,3,2.21,1,0
753,OH,114,415,No,No,0,191.5,88,32.56,175.2,78,14.89,220.3,118,9.91,0.0,0,0.0,0,0
754,NC,64,408,No,Yes,19,291.1,150,49.49,226.7,123,19.27,219.1,67,9.86,7.5,2,2.03,1,0
755,KY,111,415,No,No,0,255.9,97,43.5,204.1,129,17.35,171.3,84,7.71,12.3,5,3.32,3,0
756,MT,60,408,No,No,0,252.7,97,42.96,221.1,121,18.79,109.9,100,4.95,12.4,4,3.35,2,0
757,NJ,113,408,No,No,0,132.1,72,22.46,247.5,107,21.04,246.2,123,11.08,6.9,6,1.86,3,0
758,FL,109,408,No,No,0,217.0,115,36.89,207.0,142,17.6,268.0,106,12.06,8.2,4,2.21,1,0
759,IN,105,510,No,Yes,42,101.9,79,17.32,223.1,97,18.96,241.6,77,10.87,12.9,2,3.48,0,0
760,DE,85,510,No,No,0,211.5,100,35.96,184.6,88,15.69,164.3,131,7.39,13.3,4,3.59,2,0
761,AL,131,510,No,No,0,153.4,86,26.08,198.5,81,16.87,164.4,83,7.4,10.4,3,2.81,0,0
762,ME,59,510,No,No,0,166.3,95,28.27,239.3,87,20.34,123.2,108,5.54,10.0,3,2.7,2,0
763,SD,148,408,No,No,0,185.2,87,31.48,170.4,96,14.48,165.1,104,7.43,9.5,13,2.57,1,0
764,VA,210,408,No,No,0,104.6,121,17.78,149.5,71,12.71,255.1,67,11.48,6.5,8,1.76,2,0
765,ID,106,510,No,No,0,274.4,120,46.65,198.6,82,16.88,160.8,62,7.24,6.0,3,1.62,1,0
766,KY,57,415,No,Yes,29,279.9,121,47.58,223.1,109,18.96,251.7,94,11.33,13.0,2,3.51,1,0
767,ND,98,510,No,No,0,187.2,127,31.82,195.6,88,16.63,181.8,129,8.18,5.1,4,1.38,1,0
768,HI,157,415,No,No,0,276.2,95,46.95,165.8,119,14.09,151.6,79,6.82,2.2,4,0.59,3,0
769,WI,116,415,No,Yes,35,200.4,104,34.07,272.8,89,23.19,214.5,100,9.65,8.3,4,2.24,1,0
770,WV,30,510,No,No,0,162.3,96,27.59,244.0,122,20.74,180.1,89,8.1,9.1,4,2.46,2,0
771,KS,52,415,No,No,0,165.5,78,28.14,205.5,89,17.47,213.6,124,9.61,12.2,6,3.29,0,0
772,NC,86,510,No,No,0,190.5,115,32.39,179.6,130,15.27,258.5,89,11.63,10.1,5,2.73,3,0
773,WY,151,510,No,No,0,235.9,104,40.1,80.6,91,6.85,212.8,116,9.58,5.8,2,1.57,3,0
774,NY,117,415,No,No,0,144.6,115,24.58,258.8,66,22.0,253.2,113,11.39,7.4,9,2.0,2,0
775,ID,82,408,No,No,0,101.0,93,17.17,155.6,104,13.23,304.4,93,13.7,13.3,2,3.59,0,0
776,IA,152,415,No,No,0,206.3,98,35.07,292.8,82,24.89,43.7,121,1.97,10.6,4,2.86,1,0
777,TN,108,408,No,Yes,15,165.1,85,28.07,267.0,93,22.7,250.7,114,11.28,10.9,4,2.94,1,0
778,MA,47,415,No,No,0,155.3,116,26.4,188.2,85,16.0,247.0,73,11.12,12.3,4,3.32,3,0
779,OK,189,415,No,No,0,208.3,106,35.41,236.7,123,20.12,179.1,120,8.06,11.3,5,3.05,3,0
780,VA,11,408,No,Yes,24,131.5,98,22.36,230.2,111,19.57,283.7,87,12.77,10.0,3,2.7,2,0
781,MT,111,408,No,No,0,142.3,75,24.19,122.8,106,10.44,229.5,94,10.33,12.8,9,3.46,2,0
782,VT,99,408,No,Yes,19,87.7,103,14.91,223.0,86,18.96,182.3,112,8.2,7.3,4,1.97,2,0
783,VA,114,415,Yes,Yes,31,174.5,104,29.67,224.2,92,19.06,116.3,91,5.23,12.3,10,3.32,2,0
784,AL,71,415,No,No,0,103.3,103,17.56,138.5,79,11.77,164.8,98,7.42,9.0,2,2.43,2,0
785,AL,100,408,No,Yes,25,246.6,94,41.92,141.4,112,12.02,189.8,109,8.54,13.0,5,3.51,1,0
786,WV,83,415,No,Yes,37,78.5,109,13.35,210.5,101,17.89,179.7,102,8.09,11.8,4,3.19,1,0
787,TN,105,408,No,No,0,206.2,84,35.05,256.4,138,21.79,117.1,91,5.27,9.0,3,2.43,1,0
788,ID,144,415,No,Yes,33,251.6,87,42.77,197.6,118,16.8,209.2,97,9.41,12.2,3,3.29,2,0
789,TX,19,510,No,Yes,34,156.6,97,26.62,224.2,97,19.06,260.9,135,11.74,11.3,1,3.05,1,0
790,MA,46,408,No,No,0,139.4,81,23.7,223.7,113,19.01,173.1,77,7.79,13.6,6,3.67,1,0
791,IL,127,510,No,No,0,220.2,108,37.43,188.4,124,16.01,172.7,113,7.77,11.7,3,3.16,2,0
792,LA,9,415,No,Yes,39,214.1,108,36.4,169.2,115,14.38,189.7,117,8.54,10.1,3,2.73,1,0
793,CO,157,415,No,No,0,196.0,74,33.32,213.4,96,18.14,196.8,81,8.86,7.9,6,2.13,1,0
794,ID,31,415,No,No,0,177.3,129,30.14,152.8,105,12.99,162.9,92,7.33,5.1,2,1.38,0,0
795,MN,95,408,No,Yes,32,262.2,123,44.57,165.2,82,14.04,194.3,57,8.74,10.6,5,2.86,0,0
796,HI,119,408,No,Yes,24,217.2,94,36.92,138.7,52,11.79,139.3,85,6.27,11.3,4,3.05,0,0
797,AL,16,408,No,No,0,209.5,89,35.62,172.8,85,14.69,94.1,102,4.23,8.8,4,2.38,1,0
798,CT,99,408,No,No,0,95.4,105,16.22,207.2,101,17.61,136.0,117,6.12,5.6,5,1.51,1,0
799,CO,76,408,No,Yes,26,214.6,110,36.48,205.2,87,17.44,134.6,140,6.06,8.1,2,2.19,1,0
800,NJ,129,415,No,No,0,168.4,117,28.63,217.1,129,18.45,81.6,100,3.67,11.8,7,3.19,1,0
801,FL,116,408,No,No,0,146.4,123,24.89,176.6,113,15.01,212.6,102,9.57,7.8,5,2.11,1,0
802,CA,60,415,Yes,No,0,183.0,110,31.11,206.7,93,17.57,203.8,119,9.17,11.1,6,3.0,1,0
803,TX,47,408,No,Yes,28,112.2,70,19.07,154.8,106,13.16,166.7,105,7.5,10.6,2,2.86,0,0
804,MN,40,510,Yes,No,0,170.7,55,29.02,179.1,108,15.22,281.9,89,12.69,8.2,9,2.21,3,0
805,AK,173,510,No,No,0,172.5,78,29.33,142.6,91,12.12,102.0,63,4.59,10.9,2,2.94,0,0
806,OR,157,510,No,Yes,30,194.3,107,33.03,243.2,108,20.67,322.2,114,14.5,7.1,5,1.92,1,0
807,MS,66,408,No,Yes,32,187.8,117,31.93,129.8,90,11.03,132.3,113,5.95,12.0,3,3.24,2,0
808,VT,50,415,Yes,Yes,26,307.1,94,52.21,289.4,78,24.6,174.9,109,7.87,8.0,3,2.16,0,0
809,UT,72,415,No,No,0,118.2,106,20.09,167.2,136,14.21,214.2,106,9.64,12.2,3,3.29,3,0
810,KS,130,510,No,No,0,154.0,95,26.18,205.9,106,17.5,233.7,75,10.52,12.9,1,3.48,1,0
811,NV,143,408,No,No,0,155.5,101,26.44,213.4,89,18.14,237.9,61,10.71,7.6,11,2.05,1,0
812,TX,32,408,No,No,0,157.9,88,26.84,180.8,132,15.37,132.5,102,5.96,12.8,3,3.46,1,0
813,MA,166,415,No,No,0,203.4,81,34.58,167.7,110,14.25,132.0,124,5.94,9.2,5,2.48,2,0
814,CA,72,408,No,Yes,39,92.8,98,15.78,271.2,115,23.05,167.1,83,7.52,5.8,7,1.57,1,0
